SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22022,1628983,0022200192,"NOV 13, 2022",OKC @ NYK,W,36,13,22,0.591,2,3,0.667,9,10,0.9,0,5,5,8,3,2,6,2,37,4,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200179,"NOV 11, 2022",OKC vs. TOR,W,28,8,14,0.571,1,2,0.5,3,4,0.75,0,3,3,4,3,1,3,2,20,13,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200168,"NOV 09, 2022",OKC vs. MIL,L,46,13,25,0.52,2,5,0.4,11,13,0.846,1,3,4,4,0,2,4,5,39,3,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200146,"NOV 07, 2022",OKC @ DET,L,38,13,23,0.565,0,0,0.0,7,7,1.0,2,5,7,5,1,4,1,2,33,-8,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200136,"NOV 05, 2022",OKC @ MIL,L,32,7,16,0.438,0,1,0.0,4,5,0.8,0,1,1,3,1,1,2,3,18,-19,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200119,"NOV 03, 2022",OKC vs. DEN,L,35,13,17,0.765,0,0,0.0,11,11,1.0,1,3,4,3,2,0,4,3,37,-6,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200105,"NOV 01, 2022",OKC vs. ORL,W,33,12,18,0.667,0,3,0.0,10,11,0.909,0,4,4,6,3,2,5,2,34,-2,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200086,"OCT 29, 2022",OKC @ DAL,W,41,15,27,0.556,0,2,0.0,8,8,1.0,2,4,6,9,2,1,3,2,38,20,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200067,"OCT 27, 2022",OKC vs. LAC,W,34,10,23,0.435,2,4,0.5,2,2,1.0,1,4,5,6,3,0,3,4,24,12,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200054,"OCT 25, 2022",OKC vs. LAC,W,37,11,22,0.5,2,2,1.0,9,9,1.0,1,4,5,8,3,3,2,0,33,23,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200035,"OCT 22, 2022",OKC @ DEN,L,34,11,24,0.458,1,5,0.2,5,5,1.0,0,3,3,7,1,0,5,4,28,-6,1,2022-23,1628983,Shai Gilgeous-Alexander
22022,1628983,0022200010,"OCT 19, 2022",OKC @ MIN,L,37,12,23,0.522,2,6,0.333,6,6,1.0,2,4,6,5,3,2,2,1,32,-1,1,2022-23,1628983,Shai Gilgeous-Alexander
22024,1630162,0022400787,"FEB 13, 2025",MIN vs. OKC,W,36,5,18,0.278,3,12,0.25,10,11,0.909,1,6,7,7,3,0,2,0,23,10,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400776,"FEB 12, 2025",MIN vs. MIL,L,37,10,33,0.303,4,17,0.235,4,5,0.8,0,7,7,4,2,0,2,0,28,0,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400755,"FEB 10, 2025",MIN @ CLE,L,37,13,28,0.464,8,15,0.533,10,13,0.769,0,6,6,1,1,0,7,0,44,-12,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400729,"FEB 06, 2025",MIN vs. HOU,W,38,11,25,0.44,5,12,0.417,14,15,0.933,2,5,7,6,0,1,4,3,41,9,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400723,"FEB 05, 2025",MIN vs. CHI,W,37,13,28,0.464,6,14,0.429,17,18,0.944,3,6,9,3,1,1,5,2,49,17,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400704,"FEB 03, 2025",MIN vs. SAC,L,38,7,21,0.333,3,10,0.3,4,4,1.0,1,5,6,4,2,1,3,3,21,0,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400677,"JAN 30, 2025",MIN @ UTA,W,35,12,18,0.667,6,9,0.667,6,7,0.857,1,5,6,11,0,3,3,3,36,25,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400672,"JAN 29, 2025",MIN @ PHX,W,40,11,20,0.55,3,8,0.375,8,9,0.889,0,7,7,5,2,4,7,2,33,10,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400656,"JAN 27, 2025",MIN vs. ATL,W,35,6,20,0.3,2,11,0.182,9,13,0.692,2,3,5,4,2,1,3,2,23,8,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400634,"JAN 25, 2025",MIN vs. DEN,W,33,14,23,0.609,3,8,0.375,3,4,0.75,1,0,1,9,0,0,3,4,34,27,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400614,"JAN 22, 2025",MIN @ DAL,W,37,6,19,0.316,2,7,0.286,7,8,0.875,1,4,5,7,0,0,3,0,21,-10,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400601,"JAN 20, 2025",MIN @ MEM,L,38,8,19,0.421,3,8,0.375,13,18,0.722,1,3,4,3,0,1,5,1,32,-7,1,2024-25,1630162,Anthony Edwards
22024,1630162,0022400590,"JAN 18, 2025",MIN vs. CLE,L,41,9,22,0.409,4,9,0.444,6,6,1.0,0,3,3,5,1,1,2,2,28,-2,1,2024-25,1630162,Anthony Edwards
